car_name,yr_mfr,fuel_type,kms_run,sale_price,city,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,make,model,total_owners,original_price,car_rating,fitness_certificate
maruti swift,2015,petrol,8063,386399,noida,hatchback,manual,lxi opt,True,delhi,delhi,True,dl6c,maruti,swift,2,404177.0,great,True
maruti alto 800,2016,petrol,23104,265499,noida,hatchback,manual,lxi,True,noida,uttar pradesh,True,up16,maruti,alto 800,1,354313.0,great,True
hyundai grand i10,2017,petrol,23402,477699,noida,hatchback,manual,sports 1.2 vtvt,True,agra,uttar pradesh,True,up80,hyundai,grand i10,1,Unknown,great,True
maruti swift,2013,diesel,39124,307999,noida,hatchback,manual,vdi,True,delhi,delhi,True,dl1c,maruti,swift,1,374326.0,great,True
hyundai grand i10,2015,petrol,22116,361499,noida,hatchback,manual,magna 1.2 vtvt,False,new delhi,delhi,True,dl12,hyundai,grand i10,1,367216.0,great,True
maruti alto k10,2018,petrol,23534,335299,noida,hatchback,Unknown,vxi (o) amt,True,delhi,delhi,True,dl2c,maruti,alto k10,1,439056.0,great,True
maruti ritz,2012,diesel,41213,281999,noida,hatchback,manual,vdi,True,delhi,delhi,True,dl12,maruti,ritz,1,Unknown,great,True
hyundai i20,2012,petrol,38328,321499,noida,hatchback,manual,asta 1.2,True,noida,uttar pradesh,True,up16,hyundai,i20,3,410764.0,great,True
hyundai elite i20,2014,diesel,56402,456199,noida,hatchback,manual,magna 1.4 crdi,True,noida,uttar pradesh,True,up16,hyundai,elite i20,1,566123.0,great,True
renault kwid,2018,petrol,32703,281299,noida,hatchback,manual,rxl,True,noida,uttar pradesh,True,up16,renault,kwid,1,344127.0,great,True
maruti alto 800,2014,petrol,53180,206899,noida,hatchback,manual,lxi,True,delhi,delhi,True,dl9c,maruti,alto 800,1,207105.0,great,True
hyundai i10,2008,petrol,44219,194699,noida,hatchback,manual,sportz 1.2,True,gurgaon,haryana,True,hr26,hyundai,i10,1,Unknown,good,True
hyundai i20,2012,diesel,55764,287999,noida,hatchback,manual,sportz 1.4 crdi,True,new delhi,delhi,True,dl7c,hyundai,i20,2,356231.0,great,True
honda brio,2012,petrol,58581,235699,noida,hatchback,manual,1.2 v mt i vtec,True,ghaziabad,uttar pradesh,True,up14,honda,brio,1,307559.0,great,True
hyundai i10,2011,petrol,49761,207499,noida,hatchback,manual,magna 1.2 kappa2,True,delhi,delhi,True,dl10,hyundai,i10,1,Unknown,good,True
honda city,2010,petrol,63808,304199,noida,sedan,manual,s mt petrol,True,noida,uttar pradesh,True,up16,honda,city,1,364648.0,great,True
hyundai i10,2011,petrol,70126,217599,noida,hatchback,manual,sportz 1.2 kappa2,True,delhi,delhi,True,dl3c,hyundai,i10,1,284836.0,great,True
hyundai eon,2013,petrol,49817,216899,noida,hatchback,manual,d lite plus,True,panchkula,haryana,True,hr03,hyundai,eon,1,Unknown,great,True
maruti swift,2015,diesel,62806,396499,noida,hatchback,manual,vdi abs,True,noida,uttar pradesh,True,up16,maruti,swift,1,515526.0,great,True
honda brio,2015,petrol,58396,347399,noida,hatchback,manual,1.2 s mt i vtec,True,delhi,delhi,True,dl13,honda,brio,2,405581.0,great,True
